feature_code,name,type,date_code,smokes,household_type,sex,long_term_condition,age,sm_lower_ci,sm_upper_ci,sm_percent
S12000019,Midlothian,Local Authority,2018,Yes,All,Male,All,All,11.9,25.3,18.6
S08000022,Highland,NHS Health Board,2014,No,All,Male,All,All,74.5,82.8,78.6
S12000017,Highland,Local Authority,2018,Yes,All,Male,All,All,13,24.3,18.7
S12000006,Dumfries and Galloway,Local Authority,2017,Yes,All,Male,All,All,15.2,26.9,21.1
S12000040,West Lothian,Local Authority,2017,Yes,All,Male,All,All,14.7,29.6,22.1
S08000031,Greater Glasgow and Clyde,NHS Health Board,2016,No,All,Male,All,All,74.5,79.1,76.8
S12000018,Inverclyde,Local Authority,2012,Yes,All,Male,All,All,21.3,39,30.2
S12000028,South Ayrshire,Local Authority,2013,Yes,All,Male,All,All,16.7,32,24.4
S12000023,Orkney Islands,Local Authority,2017,No,All,Male,All,All,69.1,86.8,78
S08000022,Highland,NHS Health Board,2019,No,All,Male,All,All,76.5,85.5,81
S12000011,East Renfrewshire,Local Authority,2015,Yes,All,Male,All,All,6.7,19.4,13.1
S12000014,Falkirk,Local Authority,2013,Yes,All,Male,All,All,17.9,29.5,23.7
S12000029,South Lanarkshire,Local Authority,2012,No,All,Male,All,All,70.8,80.3,75.6
S12000034,Aberdeenshire,Local Authority,2012,No,All,Male,All,All,69.5,81.2,75.4
S08000016,Borders,NHS Health Board,2016,Yes,All,Male,All,All,7.6,17,12.3
S12000035,Argyll and Bute,Local Authority,2012,Yes,All,Male,All,All,27.2,45.2,36.2
S12000014,Falkirk,Local Authority,2017,Yes,All,Male,All,All,8.3,17.1,12.7
S12000026,Scottish Borders,Local Authority,2014,Yes,All,Male,All,All,14.6,25.9,20.3
S08000029,Fife,NHS Health Board,2018,Yes,All,Male,All,All,18.2,27.1,22.6
S12000014,Falkirk,Local Authority,2014,Yes,All,Male,All,All,17,29.4,23.2
S08000022,Highland,NHS Health Board,2016,Yes,All,Male,All,All,15.4,24.2,19.8
S12000038,Renfrewshire,Local Authority,2014,Yes,All,Male,All,All,17.4,32.8,25.1
S12000036,City of Edinburgh,Local Authority,2012,Yes,All,Male,All,All,19.4,26.8,23.1
S08000015,Ayrshire and Arran,NHS Health Board,2018,Yes,All,Male,All,All,19.4,26.8,23.1
S08000017,Dumfries and Galloway,NHS Health Board,2016,Yes,All,Male,All,All,20.1,31.3,25.7
S12000017,Highland,Local Authority,2017,Yes,All,Male,All,All,13.5,24,18.7
S08000025,Orkney,NHS Health Board,2012,No,All,Male,All,All,71.5,85.8,78.6
S08000028,Western Isles,NHS Health Board,2017,No,All,Male,All,All,72,83.6,77.8
S12000013,Na h-Eileanan Siar,Local Authority,2014,No,All,Male,All,All,62.2,81.2,71.7
S12000021,North Ayrshire,Local Authority,2012,No,All,Male,All,All,60.2,77,68.6
S08000028,Western Isles,NHS Health Board,2012,No,All,Male,All,All,64.1,79.9,72
S08000026,Shetland,NHS Health Board,2017,No,All,Male,All,All,65.8,83.2,74.5
S12000005,Clackmannanshire,Local Authority,2014,No,All,Male,All,All,51.3,72.5,61.9
S12000033,Aberdeen City,Local Authority,2015,No,All,Male,All,All,69.4,79.2,74.3
S12000047,Fife,Local Authority,2013,No,All,Male,All,All,70.1,79,74.6
S12000038,Renfrewshire,Local Authority,2015,Yes,All,Male,All,All,18.1,29.4,23.8
S12000034,Aberdeenshire,Local Authority,2016,Yes,All,Male,All,All,15.9,26,20.9
S12000023,Orkney Islands,Local Authority,2018,No,All,Male,All,All,76.4,89.3,82.9
S08000025,Orkney,NHS Health Board,2016,No,All,Male,All,All,81.5,93.4,87.5
S12000017,Highland,Local Authority,2018,No,All,Male,All,All,75.7,87,81.3
S08000016,Borders,NHS Health Board,2012,No,All,Male,All,All,71.8,84.7,78.2
S12000050,North Lanarkshire,Local Authority,2015,No,All,Male,All,All,73.6,82.6,78.1
S92000003,Scotland,Scotland,2018,No,All,Male,All,All,79.4,81.5,80.4
S12000047,Fife,Local Authority,2018,No,All,Male,All,All,72.9,81.8,77.4
S12000033,Aberdeen City,Local Authority,2018,No,All,Male,All,All,77.6,86.9,82.2
S12000027,Shetland Islands,Local Authority,2018,No,All,Male,All,All,82.5,93.4,87.9
S12000010,East Lothian,Local Authority,2018,No,All,Male,All,All,79.4,91.4,85.4
S12000011,East Renfrewshire,Local Authority,2018,No,All,Male,All,All,80.9,91.5,86.2
S12000030,Stirling,Local Authority,2013,No,All,Male,All,All,73.6,87.1,80.4
S12000041,Angus,Local Authority,2018,No,All,Male,All,All,73.6,87.4,80.5
S12000028,South Ayrshire,Local Authority,2015,Yes,All,Male,All,All,11.9,23.9,17.9
S12000010,East Lothian,Local Authority,2017,Yes,All,Male,All,All,13.2,26.4,19.8
S08000025,Orkney,NHS Health Board,2018,Yes,All,Male,All,All,10.7,23.6,17.1
S12000006,Dumfries and Galloway,Local Authority,2014,Yes,All,Male,All,All,19.9,31.9,25.9
S12000010,East Lothian,Local Authority,2015,Yes,All,Male,All,All,14.6,28.8,21.7
S12000049,Glasgow City,Local Authority,2016,Yes,All,Male,All,All,23,30,26.5
S12000039,West Dunbartonshire,Local Authority,2019,Yes,All,Male,All,All,14.5,27.5,21
S12000040,West Lothian,Local Authority,2019,Yes,All,Male,All,All,14,27,20.5
S08000026,Shetland,NHS Health Board,2019,Yes,All,Male,All,All,9,27,18
S12000035,Argyll and Bute,Local Authority,2019,Yes,All,Male,All,All,10,21,15.5
S12000023,Orkney Islands,Local Authority,2019,Yes,All,Male,All,All,6,21,13.5
S12000005,Clackmannanshire,Local Authority,2019,Yes,All,Male,All,All,16.5,31.5,24
S12000019,Midlothian,Local Authority,2019,Yes,All,Male,All,All,10.5,22.5,16.5
S12000026,Scottish Borders,Local Authority,2019,Yes,All,Male,All,All,12,27,19.5
S12000050,North Lanarkshire,Local Authority,2016,No,All,Male,All,All,70,79.2,74.6
S08000028,Western Isles,NHS Health Board,2019,Yes,All,Male,All,All,13.5,29.5,21.5
S08000015,Ayrshire and Arran,NHS Health Board,2019,Yes,All,Male,All,All,15.5,22.5,19
S08000031,Greater Glasgow and Clyde,NHS Health Board,2014,No,All,Male,All,All,73.1,78,75.5
S08000020,Grampian,NHS Health Board,2019,Yes,All,Male,All,All,16,23,19.5
S12000006,Dumfries and Galloway,Local Authority,2019,Yes,All,Male,All,All,17,29,23
S12000014,Falkirk,Local Authority,2019,Yes,All,Male,All,All,9.5,18.5,14
S12000020,Moray,Local Authority,2013,No,All,Male,All,All,64.1,82.8,73.4
S08000015,Ayrshire and Arran,NHS Health Board,2017,No,All,Male,All,All,76.2,84,80.1
S12000013,Na h-Eileanan Siar,Local Authority,2012,No,All,Male,All,All,64.1,79.9,72
S12000028,South Ayrshire,Local Authority,2019,No,All,Male,All,All,73.5,86.5,80
S08000024,Lothian,NHS Health Board,2017,No,All,Male,All,All,78.7,83.8,81.2
S12000017,Highland,Local Authority,2017,No,All,Male,All,All,75.6,86.3,81
S12000013,Na h-Eileanan Siar,Local Authority,2015,No,All,Male,All,All,65.8,81.3,73.5
S12000018,Inverclyde,Local Authority,2017,No,All,Male,All,All,76.5,90.9,83.7
S08000030,Tayside,NHS Health Board,2017,No,All,Male,All,All,79.7,86.3,83
S12000029,South Lanarkshire,Local Authority,2019,No,All,Male,All,All,79,87,83
S12000006,Dumfries and Galloway,Local Authority,2019,No,All,Male,All,All,71,83,77
S12000020,Moray,Local Authority,2019,No,All,Male,All,All,70.5,86.5,78.5
S12000011,East Renfrewshire,Local Authority,2019,No,All,Male,All,All,83.5,95.5,89.5
S12000033,Aberdeen City,Local Authority,2019,No,All,Male,All,All,75,85,80
S12000045,East Dunbartonshire,Local Authority,2015,Yes,All,Male,All,All,11.7,27.3,19.5
S12000008,East Ayrshire,Local Authority,2013,Yes,All,Male,All,All,15.6,32.3,24
S12000020,Moray,Local Authority,2014,Yes,All,Male,All,All,15.6,27.9,21.7
S08000030,Tayside,NHS Health Board,2015,Yes,All,Male,All,All,19.7,28,23.8
S12000049,Glasgow City,Local Authority,2012,Yes,All,Male,All,All,24.4,31.7,28
S12000019,Midlothian,Local Authority,2013,Yes,All,Male,All,All,11.3,26.8,19.1
S12000040,West Lothian,Local Authority,2012,Yes,All,Male,All,All,22.6,37.4,30
S12000041,Angus,Local Authority,2013,Yes,All,Male,All,All,15.6,29,22.3
S08000030,Tayside,NHS Health Board,2014,Yes,All,Male,All,All,20.4,27.9,24.1
S12000018,Inverclyde,Local Authority,2016,Yes,All,Male,All,All,14.3,30.6,22.4
S08000031,Greater Glasgow and Clyde,NHS Health Board,2014,Yes,All,Male,All,All,21.8,26.7,24.2
S12000030,Stirling,Local Authority,2017,Yes,All,Male,All,All,5.6,15,10.3
S08000022,Highland,NHS Health Board,2018,Yes,All,Male,All,All,14.6,23.6,19.1
S12000047,Fife,Local Authority,2017,Yes,All,Male,All,All,15.1,24,19.6
S12000010,East Lothian,Local Authority,2013,Yes,All,Male,All,All,12.4,26.7,19.6
S12000019,Midlothian,Local Authority,2014,Yes,All,Male,All,All,15.9,32.1,24
S08000016,Borders,NHS Health Board,2017,Yes,All,Male,All,All,8.9,22.8,15.8
S12000047,Fife,Local Authority,2013,Yes,All,Male,All,All,20.9,29.7,25.3
S12000008,East Ayrshire,Local Authority,2015,Yes,All,Male,All,All,16.4,29.7,23.1
S08000015,Ayrshire and Arran,NHS Health Board,2018,No,All,Male,All,All,73.2,80.6,76.9
S12000019,Midlothian,Local Authority,2012,Yes,All,Male,All,All,19.8,39.3,29.5
S12000013,Na h-Eileanan Siar,Local Authority,2016,Yes,All,Male,All,All,15.6,33.4,24.5
S08000017,Dumfries and Galloway,NHS Health Board,2012,Yes,All,Male,All,All,18.8,29.6,24.2
S08000032,Lanarkshire,NHS Health Board,2014,Yes,All,Male,All,All,17.1,23.5,20.3
S08000019,Forth Valley,NHS Health Board,2014,Yes,All,Male,All,All,19.6,28.4,24
S08000028,Western Isles,NHS Health Board,2018,No,All,Male,All,All,76.4,89.3,82.9
S08000029,Fife,NHS Health Board,2013,Yes,All,Male,All,All,20.9,29.7,25.3
S12000011,East Renfrewshire,Local Authority,2016,Yes,All,Male,All,All,3.8,14,8.9
S12000050,North Lanarkshire,Local Authority,2013,Yes,All,Male,All,All,23.5,33.4,28.4
S12000030,Stirling,Local Authority,2016,Yes,All,Male,All,All,8,19.6,13.8
S08000016,Borders,NHS Health Board,2015,Yes,All,Male,All,All,10.8,22.6,16.7
S12000049,Glasgow City,Local Authority,2018,No,All,Male,All,All,73.6,80.3,77
S12000018,Inverclyde,Local Authority,2015,Yes,All,Male,All,All,17.4,32.5,24.9
S08000025,Orkney,NHS Health Board,2018,No,All,Male,All,All,76.4,89.3,82.9
S08000024,Lothian,NHS Health Board,2018,No,All,Male,All,All,81,85.6,83.3
S12000011,East Renfrewshire,Local Authority,2013,Yes,All,Male,All,All,4.8,15.5,10.2
S12000050,North Lanarkshire,Local Authority,2016,Yes,All,Male,All,All,19.9,28.9,24.4
S12000026,Scottish Borders,Local Authority,2018,Yes,All,Male,All,All,10.4,21.1,15.8
S12000035,Argyll and Bute,Local Authority,2013,No,All,Male,All,All,58.9,80.1,69.5
S08000028,Western Isles,NHS Health Board,2012,Yes,All,Male,All,All,20.1,35.9,28
S12000029,South Lanarkshire,Local Authority,2013,Yes,All,Male,All,All,17.6,27.1,22.4
S08000025,Orkney,NHS Health Board,2014,Yes,All,Male,All,All,13.2,27.7,20.5
S08000019,Forth Valley,NHS Health Board,2018,No,All,Male,All,All,79.5,86.9,83.2
S08000032,Lanarkshire,NHS Health Board,2013,Yes,All,Male,All,All,22.1,28.9,25.5
S08000019,Forth Valley,NHS Health Board,2013,Yes,All,Male,All,All,18.7,26.5,22.6
S12000049,Glasgow City,Local Authority,2015,Yes,All,Male,All,All,23.3,29.9,26.6
S12000030,Stirling,Local Authority,2013,Yes,All,Male,All,All,12.9,26.4,19.7
S12000048,Perth and Kinross,Local Authority,2012,No,All,Male,All,All,70.1,84.9,77.5
S12000021,North Ayrshire,Local Authority,2014,Yes,All,Male,All,All,16.2,29,22.6
S08000026,Shetland,NHS Health Board,2014,Yes,All,Male,All,All,11.4,28.7,20.1
S12000050,North Lanarkshire,Local Authority,2015,Yes,All,Male,All,All,17.4,26.4,21.9
S08000029,Fife,NHS Health Board,2018,No,All,Male,All,All,72.9,81.8,77.4
S08000025,Orkney,NHS Health Board,2016,Yes,All,Male,All,All,6.6,18.5,12.5
S12000005,Clackmannanshire,Local Authority,2014,Yes,All,Female,All,All,18.9,34,26.5
S08000025,Orkney,NHS Health Board,2013,No,All,Female,All,All,72.5,90.7,81.6
S12000038,Renfrewshire,Local Authority,2014,Yes,All,Female,All,All,13.1,22.7,17.9
S12000036,City of Edinburgh,Local Authority,2015,Yes,All,Female,All,All,11.2,17.4,14.3
S12000027,Shetland Islands,Local Authority,2015,Yes,All,Female,All,All,12.8,29,20.9
S12000021,North Ayrshire,Local Authority,2013,No,All,Female,All,All,65.9,80.1,73
S12000039,West Dunbartonshire,Local Authority,2015,Yes,All,Female,All,All,19.3,30.8,25.1
S92000003,Scotland,Scotland,2013,No,All,Female,All,All,78.3,80.2,79.3
S12000049,Glasgow City,Local Authority,2013,No,All,Female,All,All,71.6,77.4,74.5
S12000006,Dumfries and Galloway,Local Authority,2017,No,All,Female,All,All,75.4,84.8,80.1
S12000028,South Ayrshire,Local Authority,2018,No,All,Female,All,All,79.5,90.3,84.9
S92000003,Scotland,Scotland,2014,No,All,Female,All,All,79.2,81,80.1
S12000033,Aberdeen City,Local Authority,2013,No,All,Female,All,All,77.7,85.8,81.7
S12000040,West Lothian,Local Authority,2012,Yes,All,Female,All,All,12.8,24.9,18.8
S08000015,Ayrshire and Arran,NHS Health Board,2014,No,All,Female,All,All,74.9,80.9,77.9
S12000047,Fife,Local Authority,2014,No,All,Female,All,All,79,85.6,82.3
S12000019,Midlothian,Local Authority,2015,Yes,All,Female,All,All,14.2,30.8,22.5
S12000006,Dumfries and Galloway,Local Authority,2012,No,All,Female,All,All,72.5,81.6,77.1
S12000020,Moray,Local Authority,2015,No,All,Female,All,All,71.1,82.8,77
S08000025,Orkney,NHS Health Board,2016,Yes,All,Female,All,All,5.7,28.9,17.3
S12000010,East Lothian,Local Authority,2012,No,All,Female,All,All,69,83.5,76.3
S12000041,Angus,Local Authority,2017,No,All,Female,All,All,75.9,86.9,81.4
S12000034,Aberdeenshire,Local Authority,2014,No,All,Female,All,All,77.2,85.3,81.3
S12000039,West Dunbartonshire,Local Authority,2013,No,All,Female,All,All,72.8,85.3,79
S08000030,Tayside,NHS Health Board,2016,Yes,All,Female,All,All,13.8,19.9,16.8
S12000017,Highland,Local Authority,2015,No,All,Female,All,All,78,86.7,82.3
S92000003,Scotland,Scotland,2017,No,All,Female,All,All,82.5,84.2,83.4
S08000016,Borders,NHS Health Board,2012,No,All,Female,All,All,75.9,87.1,81.5
S12000030,Stirling,Local Authority,2014,No,All,Female,All,All,76.8,88.3,82.5
S08000015,Ayrshire and Arran,NHS Health Board,2012,No,All,Female,All,All,74.3,80.8,77.5
S12000028,South Ayrshire,Local Authority,2013,Yes,All,Female,All,All,13.7,24.7,19.2
S08000020,Grampian,NHS Health Board,2013,No,All,Female,All,All,78,83.8,80.9
S12000008,East Ayrshire,Local Authority,2012,No,All,Female,All,All,68.2,80.5,74.3
S12000026,Scottish Borders,Local Authority,2015,No,All,Female,All,All,74.7,86.9,80.8
S12000045,East Dunbartonshire,Local Authority,2017,Yes,All,Female,All,All,5.6,15,10.3
S12000027,Shetland Islands,Local Authority,2019,No,All,Female,All,All,82.5,93.5,88
S12000047,Fife,Local Authority,2013,Yes,All,Female,All,All,17.5,23.9,20.7
S12000017,Highland,Local Authority,2018,No,All,Female,All,All,83,90.3,86.6
S12000026,Scottish Borders,Local Authority,2013,Yes,All,Female,All,All,12.3,23.2,17.7
S12000008,East Ayrshire,Local Authority,2018,Yes,All,Female,All,All,15.9,26.6,21.2
S12000035,Argyll and Bute,Local Authority,2018,Yes,All,Female,All,All,7.7,16.3,12
S12000026,Scottish Borders,Local Authority,2014,Yes,All,Female,All,All,8.9,18.6,13.8
S12000047,Fife,Local Authority,2012,Yes,All,Female,All,All,17.3,24.2,20.7
S12000008,East Ayrshire,Local Authority,2019,No,All,Female,All,All,82.5,91.5,87
S12000050,North Lanarkshire,Local Authority,2015,Yes,All,Female,All,All,21.8,29.9,25.9
S12000042,Dundee City,Local Authority,2014,No,All,Female,All,All,71.5,83.9,77.7
S08000032,Lanarkshire,NHS Health Board,2014,No,All,Female,All,All,74.7,80.5,77.6
S12000050,North Lanarkshire,Local Authority,2016,Yes,All,Female,All,All,15.6,23.1,19.4
S12000048,Perth and Kinross,Local Authority,2018,Yes,All,Female,All,All,10.3,21.7,16
S12000019,Midlothian,Local Authority,2012,No,All,Female,All,All,73.1,87.1,80.1
S08000032,Lanarkshire,NHS Health Board,2015,No,All,Female,All,All,75,80.6,77.8
S12000035,Argyll and Bute,Local Authority,2018,No,All,Female,All,All,83.7,92.3,88
S12000033,Aberdeen City,Local Authority,2018,Yes,All,Female,All,All,9.9,16.8,13.4
S12000040,West Lothian,Local Authority,2013,No,All,Female,All,All,72.5,83.4,78
S12000048,Perth and Kinross,Local Authority,2013,Yes,All,Female,All,All,9.7,20.4,15.1
S12000038,Renfrewshire,Local Authority,2018,Yes,All,Female,All,All,10.9,19.3,15.1
S12000013,Na h-Eileanan Siar,Local Authority,2018,No,All,Female,All,All,74.6,88.4,81.5
